                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4083,                 1.9383,                 1.4036,                0.82849,                   0.85,                0.85878,                0.54442,                  1.296,                 2.1627,                 1.2453,                  8e-05,                  8e-05,                  8e-05
                      1,                 1.1986,                 1.0392,                 1.2286,                0.85618,                0.89311,                0.89136,                0.56899,                 1.3245,                 1.6558,                 1.2125,             0.00017822,             0.00017822,             0.00017822
                      2,                 1.1408,                0.97745,                 1.1658,                0.93195,                  0.875,                0.92192,                0.57459,                 1.2867,                 1.1306,                 1.2418,             0.00027446,             0.00027446,             0.00027446
                      3,                 1.1457,                  1.008,                 1.2173,                0.63572,                  0.725,                0.69613,                0.41999,                 1.3941,                 3.6498,                 1.3644,             0.00036871,             0.00036871,             0.00036871
                      4,                 1.0768,                0.99194,                 1.1655,                0.68315,                  0.725,                0.66522,                0.35486,                 1.6843,                 2.6264,                 1.6255,             0.00046099,             0.00046099,             0.00046099
                      5,                 1.0064,                0.97876,                 1.1974,                0.76559,                   0.55,                0.57152,                0.22071,                  2.118,                 3.6079,                  2.035,             0.00055129,             0.00055129,             0.00055129
                      6,                 1.0395,                 0.8102,                 1.1683,                0.63728,                  0.425,                0.42122,                0.16532,                 2.2264,                 3.1931,                 2.3119,             0.00063961,             0.00063961,             0.00063961
                      7,                 1.1781,                0.89301,                  1.191,                0.47893,                  0.525,                 0.4577,                0.20737,                 1.9477,                 4.5136,                  1.989,             0.00072595,             0.00072595,             0.00072595
                      8,                  1.216,                 1.0035,                 1.2564,                0.49235,                   0.65,                0.59886,                0.30828,                 1.8907,                 4.5798,                 1.9919,              0.0008103,              0.0008103,              0.0008103
                      9,                 1.2001,                0.94262,                 1.2368,                0.31126,                    0.5,                0.25694,                0.10401,                  2.322,                 6.4733,                 2.7619,             0.00089268,             0.00089268,             0.00089268
                     10,                 1.2276,                  0.951,                 1.3316,                0.17036,                    0.4,                0.17035,                0.07173,                 2.3076,                 14.349,                 2.5397,             0.00097308,             0.00097308,             0.00097308
                     11,                 1.1461,                0.91997,                 1.2288,                0.29721,                    0.5,                0.34157,                0.14771,                 1.9453,                 7.7766,                 2.2238,              0.0010515,              0.0010515,              0.0010515
                     12,                 1.1925,                0.92737,                 1.3337,                0.27492,                0.42657,                0.23521,                0.10767,                 2.0645,                  5.582,                  2.387,              0.0011279,              0.0011279,              0.0011279
                     13,                 1.1281,                0.88978,                 1.3214,                0.27492,                0.42657,                0.23521,                0.10767,                 2.0645,                  5.582,                  2.387,              0.0012024,              0.0012024,              0.0012024
                     14,                   1.31,                0.98237,                  1.337,                0.31027,                    0.4,                0.22475,                0.07992,                 2.3031,                  6.064,                 2.6334,              0.0012749,              0.0012749,              0.0012749
                     15,                 1.4361,                    1.2,                  1.631,                0.01101,                    0.5,                0.00904,                 0.0037,                 2.7483,                 104.96,                 3.7022,              0.0013454,              0.0013454,              0.0013454
                     16,                 1.3697,                 1.1402,                 1.4638,                0.09892,                    0.6,                0.09209,                0.03172,                 2.3644,                 23.709,                 2.9688,              0.0014139,              0.0014139,              0.0014139
                     17,                 1.3209,                 1.3638,                 1.3763,                0.09892,                    0.6,                0.09209,                0.03172,                 2.3644,                 23.709,                 2.9688,              0.0014804,              0.0014804,              0.0014804
                     18,                  1.439,                 1.3029,                 1.4493,                0.06784,                   0.45,                0.10863,                0.04594,                  2.218,                 29.683,                  3.275,               0.001545,               0.001545,               0.001545
                     19,                 1.5382,                 1.2451,                 1.5607,                0.12344,                   0.55,                0.20017,                 0.0764,                 2.2274,                 23.974,                  2.785,              0.0016076,              0.0016076,              0.0016076
                     20,                 1.4209,                 1.4279,                 1.4163,                0.12344,                   0.55,                0.20017,                 0.0764,                 2.2274,                 23.974,                  2.785,               0.001604,               0.001604,               0.001604
                     21,                 1.4207,                 1.3266,                 1.4297,                0.16564,                  0.275,                0.21347,                0.09915,                 2.1664,                 13.905,                 2.5026,               0.001604,               0.001604,               0.001604
                     22,                 1.3306,                 1.2187,                 1.3965,                 0.1271,                  0.375,                0.07768,                0.02324,                 2.4066,                 8.7219,                 2.9436,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5638,                 1.3764,                 1.5324,                 0.1271,                  0.375,                0.07768,                0.02324,                 2.4066,                 8.7219,                 2.9436,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.4999,                 1.2747,                 1.4991,                0.20181,                   0.55,                0.15849,                0.05265,                 2.1536,                 10.581,                  2.728,              0.0015446,              0.0015446,              0.0015446
